query,category,document_id,review_id,product_id,rating,rank,text,relevance_label,reviewer_notes
What flavor complaints are made about a food product?,aspect_analysis,review_bc3684fea25f3d36,189377,B001EO5Q64,5.0,2,"Why are we no longer able to autoship my item?
Hey, I really love this product! I just received the same message that they can't fulfill my order!!???? I have NO complaints about this product, and I expect it to be a bit messy in summer! (it is OIL!!!). Why is this product no longer available from the supplier? I am on auto ship so I can keep a consistent supply since I use it for EVERYTHING!!! Great product but questionable practice by Amazon to say the least.",,
What flavor complaints are made about a food product?,aspect_analysis,review_55037179b022be90,484911,B00248EE4O,5.0,3,"Tortillia Chips with flavor!
These have much more flavor and taste than regular tortilla chips.  Always a hit when friends come over and we put out the snacks. Top quality ingredients; brown rice, oat fiber, sunflower seeds etc. are what give this product the taste to start a conversation. Serve with fresh veggies and a good dip, always a crowd pleas-er!  I certainly would recommend this product to anyone who is trying to eat more healthy food with great flavor.",,
What flavor complaints are made about a food product?,aspect_analysis,review_fffc3905e1b5c6b9,440105,B005ZBZLSU,5.0,4,"Love these
Deep, dark, rich flavor. I appreciate the reduced packaging which is environmentally friendly, and as a side benefit takes up less space.  What I really like about these, besides the great flavor (best tasting K-cups I've found so far) is that there is just the filter on the bottom. I've always had some un-addressed concerns about the composition of the plastic that other k-cups are made of, and what may be leaching into my beverage from the hot water passing over the coffee.  Look for these at costco where a 80 pack is 25$ (look around, not all stores carry them), but even on amazon it's a good deal with shipping included.",,
What flavor complaints are made about a food product?,aspect_analysis,review_7cdf76e589e5d6e1,524425,B000VK4K2S,1.0,5,"Newman's Own Organics Canned Dog Food is NOT made in the USA
I was not aware of and was not told the country of origin when I purchased a case of Newman's Own Organics Canned Dog Food..  This product is made in Uruguay not the USA!! It made both of my dogs sick with severe diarrhea.  Blue Buffalo was out of stock so I thought ""Newman's Own"" indicated it would be a good product made in the USA.  WRONG!!!",,
What flavor complaints are made about a food product?,aspect_analysis,review_18cea791fd03c887,438484,B000W7GXZ2,4.0,6,"Not bad at all...
My only issue with the strawberry is the strawberry flavor is a little weak. It doesn't taste like real strawberries, it is the fake strawberry flavor (which I just happen to prefer), I just wish the strawberry flavor was a little stronger. As a syrup, I have no complaints and it does have a nice mild strawberry flavor and is pretty sweet to. This would help curb the sweet tooth cravings, thats for sure! I will buy it again!",,
What flavor complaints are made about a food product?,aspect_analysis,review_a6064cfd69f995ec,231940,B0000DG586,1.0,7,"Not So Great
Didn't like this product very much. The first time I purchased the product, the seal was broken and everything was leaking out but the company did replace the product free of charge which made me feel better about the purchase. I don't think it is a bad product, but it just was not what I really was looking for.",,
What flavor complaints are made about a food product?,aspect_analysis,review_bd21b622dd35bb3e,153077,B00141WDXG,1.0,8,"dogswell is now made in China!
<a href=""http://www.amazon.com/gp/product/B001AJ1ULS"">Dogswell Happy Hips for Dogs, Chicken Breast,15-Ounce Pouches (Pack of 3)</a>Dogswell chicken jerky is now made in China.  The FDA has warned against dog food products made in China.  Don't risk it!",,
What flavor complaints are made about a food product?,aspect_analysis,review_49319de79ebb7e62,199206,B0002NV04K,4.0,9,"A good buy...
...money wise, in any case. They're much cheaper than in any stores in our area. The only drawback is cleaning them off and breaking off the stems. It might take a while. Otherwise, no complaints. They're delicious after soaking them for about 20 minutes in cold water. I love them in gravies and over potatoes and pasta.",,
What flavor complaints are made about a food product?,aspect_analysis,review_db3ecc8af25e646d,385209,B005VOOM5E,4.0,10,"A mild smooth coffee
There are several things a coffee lover looks for in their brew.. the aroma, the color and the taste are what I look for. When I opened the individual pack, I was hit with a wonderful coffee scent.  The pod looks typical, and are made for a pod machine.  When I made my first cup, since the aroma was strong, I filled the machine with a good sized mug's worth of water, and made a cup.  When it was done, the color was fairly light, so I only added a small amount of milk.  Still, the flavor was a bit too bland for me, and I like a mild coffee.  For the second cup, I used a smaller mug, and in return got a darker, more flavorful cup, so that is my recommendation with this brand.  Some other things I love about this brand:  it's organic, sustainably grown and Fair Trade certified. That's a lot of benefits for only about 75 cents a cup.  The even have their own foundation to support youth soccer programs.  This is a good deal.  The only thing that I would change is the individual wrap, which seems like an excess of packaging for a company dedicated to the environment.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_a9ad4d2c430d7ec6,93222,B004OLKF6K,3.0,1,"Advertised as Medium-Bold, but more Medium than Bold.  Slightly Bitter, but Not Harsh.
This Columbia Blend leans more to the medium side than the bold side of coffee.  However, there is a slight kick to it, so solid medium coffee drinkers may want to take a pass.<br /><br />The blend is also slightly bitter, but not so bitter that it would be considered a harsh taste.  The bitter can be toned down by milk, which would leave no significant aftertaste.<br /><br />I would put this kcup in the same category as <a href=""http://www.amazon.com/gp/product/B00474OR8G"">Caribou Coffee, Caribou Blend, 24-Count K-Cups for Keurig Brewers</a>, although I would choose this Barista Prima Columbia blend over the Caribou Blend.<br /><br />This is an OK blend, but there are better coffee blends on the market.<br /><br />Disclosure: I received this kcup in a free sample pack mailed by Keurig to its customers.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_a1ac9e3b35984862,181938,B0009F3POY,3.0,2,"It's Ok... Not for ""nosey"" people :)
I understand that the product does not guarantee increase in milk production, that is why I can't complain that it did not or helped in any way. It has a very strong herbal fragrance, which my coworkers weren't crazy about. So, if you have a sensitive nose, you will probably have a hard time consuming it.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_b749f5e7939bccef,487096,B000PDWBKO,5.0,3,"Tastes great!
I have a Waring Pro, and this stuff is fantastic. It is salty and buttery, and tastes like movie theater popcorn. Some complain it doesn't all pop, that's because some of the kernals are thrown out of the kettle while the others pop. It always fills the tray that comes with my popper all the way up. I love it.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_da1a5bcbc9c80545,29455,B000PDY3P0,5.0,4,"Tastes great!
I have a Waring Pro, and this stuff is fantastic. It is salty and buttery, and tastes like movie theater popcorn. Some complain it doesn't all pop, that's because some of the kernals are thrown out of the kettle while the others pop. It always fills the tray that comes with my popper all the way up. I love it.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_b00238c4cf21dcfe,88961,B004M5XUGK,2.0,5,"tastes like medium roast with slight burnt/bitter aftertaste
I am not taking to the taste of this coffee. For me, it had a medium roast flavor, (meaning not too strong), and a slight burnt-bitter aftertaste. There is an ever-so slight hint of cocoa in the flavor, not to it's detriment. I did not want a super-strong coffee, and I was  hoping that this would not harbor the burnt/bitter aftertaste that some of the stronger coffees seem to have. In any case, I am trying to find a medium roast, good smooth coffee to replace the Van Houtte Kenyan k-cups, since they are not being sold now, and Tree Hugger is not the one to fill those shoes for my taste.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_86b55b15105d952c,431744,B002TMV3CG,5.0,6,"a coffee black and tan
Some coffees try to impress by including a particular strong added flavor or mixing in a variety of tastes so as to distract from the often bitter taste of the coffee itself.<br /><br />This Melitta Cafe doesn't do that.  Rather it has a very pure, direct and yes smooth taste that is surprisingly not bitter.  It is a coffee for those who enjoy sitting down with a hot beverage and enjoying the moment.  It does not grab your attention, but that's not what I'm looking for in a cup of coffee.<br /><br />The mix of dark and light roasts are very finely blended, and give the coffee a robust flavor, and a great, welcomed dose of caffeine.<br /><br />I'd definitely get this again.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_0be3f6782d9d0f55,133304,B0090X8IPM,4.0,7,"A Satisfying Woodsey Taste
This coffee really surprised me in a good way.  Preferring my coffee black, Starbucks coffee has always seemed too bitter for my taste.  This coffee was not bitter at all and had a pleasing woodsey flavor that was very pleasing.  I plan to buy some more of this.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_d0e4a2b7c8b70aa1,478331,B00362FJD2,4.0,8,"Very mild tasting coffee
If you like your coffee to give you a strong rush of caffeine jolt with a dark roasted bitter taste (like most Starbucks), then this coffee may not be for you. If you like milder tasting coffee that has bit more aroma and taste, then this coffee may fill your needs. Starbucks this coffee isn't, and that isn't necessary a bad thing.<br /><br />I recommend everyone try this brand of coffee at least once. It was ranked #1 by one consumer magazine as the best coffee.<br /><br />I do like the taste of this coffee. Even though it is a French Roast, it tastes almost like a Hazelnut with very nutty flavor. The natural and pleasant flavor of the coffee isn't drown out by the bitter taste.<br /><br />The caffeine rush is also very mild and subtle. If you find yourself too hyper from drinking Starbucks, then this could be a good alternative brand.<br /><br />This coffee is also surprisngly affordable. It costs little over 1/2 of Starbucks coffee by weight.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_754df2e02a49df0b,464842,B000UBD88A,3.0,9,"Dark Roast Production Problems
Having used the Senseo Dark Roast pods for years, I was happy when Amazon got them back in stock.  But the coffee is now undrinkable--it is incredibly bitter; I ended up throwing it out.  To make sure it was not just me, I made a cup for a friend who LOVES the Dark Roast, and she also said that it was very bitter.<br /><br />Called Senseo.  The rep said that he had gotten other complaints of a similar nature: that the new blend was bitter.  He said that it might have been a problem at the factory, since the new batches were supposed to taste the same as the older batches.  (The former factory has closed down, and they are manufacturing the new batches in a different factory.)  However, the new bags also say ""French Roast' not just ""Dark Roast"" so this may account for the difference--but French roasted coffee should not be bitter.<br /><br />For those who are concerned that the pods no longer say ""Senseo"" on the top, they are not counterfeit.  I was told that Senseo decided to eliminate the printing, since it made the pod fractionally thicker and some customers had problems with the top of the pod tearing.  Removing the printing would hopefully do away with this problem.  However, this is the least of my worries, since these pods will have to be thrown out and I do not have any of the older Senseo Dark Roast pods remaining.<br /><br />UPDATE: The following day, having written the scathing review above, I decided to open another bag and see if those pods were as awful as those in the first bag before I threw out all remaining five bags of pods.<br /><br />To my surprise, these pods were fine and the coffee tasted just like the older version.  Clearly there is a problem in the production in the new factory.  I did not want to open the other four bags now, since they would lose their freshness, but it is still possible that the coffee in some of those is also horrible.  But at least I feel better knowing that Senseo did not change the formula for the Dark Roast.  Now they just have to get their production kinks worked out.<br /><br />Amazon, of course, was great in dealing with the problem.",,
Why might customers complain that coffee tastes bitter?,aspect_analysis,review_03e804f9511ec4f6,449667,B001D0GVAO,4.0,10,"Very good coffee...lower caffeine, but probably not no caffeine.
I typically only like to drink Timothy's and Emeril's coffees.  I like coffee strong, without bitter aftertaste.  For a decaf, this is great coffee.  It's not as bold as Timothy's Midnight Magic or Rainforest Espresso (my 2 favorite caffeinated coffees), but for an afternoon or evening coffee that won't keep you up all night, its great.  Only downside is that I think it has more caffeine than other weak decaf coffees.  I like it, but it does affect sleep.  On a positive, if you have it in the afternoon/evening, it might give a LITTLE bit of a much needed pick-up, without getting you overcaffienated as can happen if you have too much regular coffee!",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_5e537f8be5c213eb,223009,B000UUWECC,1.0,1,"Acquired taste?
I'm sorry but my wife and I found this product to be completely unpalatable.  I have tasted fresh coconut meat and canned coconut milk, but this is something totally different.  I suspect that it is an acquired taste. Before you buy a large quantity, be sure and know what it tastes like.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_46b20fde85002fc4,182521,B008RWUKXK,3.0,2,"Palatable
But the idea of expecting valid testimony to claims of a ""healthy"" product when all that is offered is an exceedingly small quantity is not reasonable. So, yes...it is a palatable confection. More than that? I've no clue.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_35e6df0cae94aa3a,109514,B001ELL4NG,1.0,3,"Great price & quantity, not so great flavor
Probably like many folks I was swayed by the quantity and price, especially if ordering with the option to reorder in another couple of months for a good savings.  BUT, unfortunately the flavor is quite lacking.  There is just a hint of the blue raspberry, with the main flavor seeming to be almost synthetic add a little sweetness.  I love gummies but will be a wary of purchasing an Albanese gummy again.  These will certainly last a long time, but I cannot recommend this product to other folks.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_75f6a351c8c61d8f,458241,B000KEVF3M,5.0,4,"2 paws up
My dog absolutely loves these. My only complaint is that they're a little pricey, but it's worth it for an occasional big ""treat"".",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_14bbb8f2caa48e47,238457,B0000W0GQQ,4.0,5,"Madagascar Vanilla Bean Paste
I initially received the incorrect item when I ordered this.  The company was very prompt to send out a replacement with the correct item.  I would use no other vanilla, it is GREAT!",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_fe56bec8dfb4c936,266380,B003QKBDX4,5.0,6,"Worth every penny
Awesome, great product. They cost $1.15 each which is about a third what an iced coffee costs at Starbucks. I will always have these on hand.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_1f41a06d0aad3164,467074,B000N9IJQA,5.0,7,"Great price/quantity
Don't know WHY this stuff is so horrendously expensive in the grocery stores, for a fraction of the amount you receive from this company.  The price/quality/quantity is a very great value.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_faf9eca005c28d14,418331,B005LMM26M,5.0,8,"The best Tea I have ever drank
I actually buy directly from the Runa website as their prices are a little better. This tea is amazing, I used to drink coffee like a mad women now I drink 1-2 cups and then it's the Guayusa tea. I actually can feel the difference when I drink this tea, energized but not jittery, focused and the taste of this tea is like no other. Besides supporting these local farmers buying this tea also supports the rainforest as this tea is grown under shade. I can not say enough good things about this tea and highly recommend this product....",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_08cde0bf1c58cf7f,486712,B0014AUJII,5.0,9,"Good price for the quantity :)
It came in a timely fashion & it was a good price for the quantity I received. This tea is good for occasional constipation or to help your body along when it feels irregular.",,
What evidence supports a complaint about an incorrect product quantity?,complaint_analysis,review_338eff8ec22634c1,422373,B000WH9LSI,5.0,10,"These soynuts are exactly what I wanted
Roasted, unsalted soy nuts are not the most delicious snack. So before you buy 12, 9 oz packages, you should try a small quantity at your local health food store or asian grocer. If you know you want roasted, unsalted soy nuts, Amazon's offering from the Bergen Nut Company is an excellent source and good price. When I open a package, I transfer them to a tupperware container for easy snacking while I sit at my computer when working. It's a healthier alternative to satisfy a craving to munch.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_7e60a13ed2a57258,431847,B000FFRY5O,3.0,1,"Many broken pieces during shipping?
I ordered a case & was dismayed that all the bags contained 70% broken pieces.  I bought these for my gluten-free, soy-free, egg-free son & for small children, broken food is a big deal.  I will pursue a refund from Amazon.<br /><br />Once you can get past the broken pieces, they taste good.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_6fe40081d38c8a4a,424597,B002HFPW6I,2.0,2,"Not Fresh? Do we have a health risk ??
I have recently noticed that the last few months of Trio snacks received are stale and more brittle than usual. I am told that this product is made in China which concerns me.<br /><br />I cannot find madatory expiration dates on the box which causes me even greater concern. I hope Amazon is reviewing their food products prior to shipping.",,
